settlement_date,settlement_period,nd,tsd,england_wales_demand,embedded_wind_generation,embedded_wind_capacity,embedded_solar_generation,embedded_solar_capacity,non_bm_stor,pump_storage_pumping,ifa_flow,ifa2_flow,britned_flow,moyle_flow,east_west_flow,nemo_flow,is_holiday,DATETIME,GAS,COAL,NUCLEAR,WIND,HYDRO,IMPORTS,BIOMASS,OTHER,SOLAR,STORAGE,GENERATION,CARBON_INTENSITY,LOW_CARBON,ZERO_CARBON,RENEWABLE,FOSSIL,GAS_perc,COAL_perc,NUCLEAR_perc,WIND_perc,HYDRO_perc,IMPORTS_perc,BIOMASS_perc,OTHER_perc,SOLAR_perc,STORAGE_perc,GENERATION_perc,LOW_CARBON_perc,ZERO_CARBON_perc,RENEWABLE_perc,FOSSIL_perc,total_embedded_generation,total_interconnector_flow
2020-11-14,24.5,26775.104166666668,27620.708333333332,24842.229166666668,2576.2916666666665,6527.0,109.29166666666667,13080.0,0.0,105.79166666666667,1485.2291666666667,0.0,411.1458333333333,123.91666666666667,477.5208333333333,550.1666666666666,0.0,2020-11-14 11:45:00,6404.354166666667,0.0,5625.458333333333,12766.958333333334,617.8333333333334,3187.2916666666665,1309.1458333333333,176.625,112.35416666666667,245.08333333333334,30445.104166666668,102.1875,20431.75,19122.604166666668,13497.145833333334,6404.354166666667,21.035416666666666,0.0,18.954166666666666,41.74791666666667,2.03125,10.362499999999999,4.254166666666666,0.5833333333333334,0.33125,0.7020833333333334,100.0,67.325,63.05833333333333,44.09791666666666,21.035416666666666,2685.5833333333335,3047.9791666666665
2020-11-15,24.5,25852.458333333332,27275.375,23793.25,2629.75,6527.0,573.9166666666666,13080.0,0.0,318.9375,1068.6875,0.0,306.25,-14.166666666666666,221.25,532.0,0.0,2020-11-15 11:45:00,6054.708333333333,0.0,5608.895833333333,13208.75,668.3541666666666,2626.8958333333335,1355.7708333333333,146.89583333333334,577.4791666666666,450.2916666666667,30698.041666666668,89.02083333333333,21419.25,20063.479166666668,14454.583333333334,6054.708333333333,18.860416666666666,0.0,18.814583333333335,44.35833333333333,2.13125,7.9937499999999995,4.3999999999999995,0.48125,1.7083333333333333,1.2562499999999999,100.0,71.41041666666666,67.0125,48.197916666666664,18.860416666666666,3203.6666666666665,2114.0208333333335
2020-11-16,24.5,29354.0,30551.541666666668,27330.666666666668,2715.4583333333335,6527.0,317.2083333333333,13080.0,0.0,248.16666666666666,1349.8958333333333,0.0,388.7083333333333,-19.9375,205.54166666666666,731.2708333333334,0.0,2020-11-16 11:45:00,7889.854166666667,385.2708333333333,5595.416666666667,13581.916666666666,577.6041666666666,2840.625,1752.8333333333333,190.72916666666666,321.6666666666667,428.25,33564.125,115.39583333333333,21829.416666666668,20076.583333333332,14481.1875,8275.125,22.266666666666666,1.0041666666666667,17.287499999999998,41.949999999999996,1.71875,8.2125,5.1,0.5604166666666667,0.8416666666666667,1.0770833333333334,100.0,66.89791666666666,61.79583333333333,44.50416666666666,23.270833333333332,3032.6666666666665,2655.4791666666665
2020-11-17,24.5,28978.520833333332,30146.291666666668,27076.375,2859.0,6527.0,249.4375,13080.0,0.0,187.375,925.7916666666666,0.0,648.6041666666666,82.47916666666667,384.5625,611.7083333333334,0.0,2020-11-17 11:45:00,6965.25,342.0,5741.604166666667,13569.583333333334,603.8125,3450.1875,2262.0416666666665,165.58333333333334,254.6875,202.29166666666666,33557.041666666664,110.89583333333333,22431.729166666668,20169.6875,14428.083333333334,7307.25,20.212500000000002,0.9249999999999999,17.48125,41.08541666666667,1.8270833333333334,10.18125,6.595833333333334,0.5020833333333333,0.6875,0.5104166666666666,100.0,67.67916666666666,61.083333333333336,43.606249999999996,21.125,3108.4375,2653.1458333333335
2020-11-18,24.5,28567.4375,29777.354166666668,26716.520833333332,3257.3333333333335,6527.0,295.5,13080.0,0.0,168.33333333333334,979.7291666666666,-0.6041666666666666,412.7916666666667,81.0,495.1458333333333,481.0208333333333,0.0,2020-11-18 11:45:00,6517.041666666667,157.4375,5846.458333333333,14016.458333333334,593.2708333333334,2884.4583333333335,2499.4166666666665,182.70833333333334,292.0416666666667,200.375,33189.666666666664,101.70833333333333,23247.666666666668,20748.25,14901.791666666666,6674.479166666667,19.195833333333333,0.41875,18.139583333333334,42.85833333333333,1.8395833333333333,8.177083333333334,7.53125,0.5770833333333333,0.7937500000000001,0.5020833333333333,100.0,71.14583333333333,63.62083333333334,45.47291666666666,19.616666666666667,3552.8333333333335,2449.0833333333335
2020-11-19,24.5,31275.020833333332,32897.458333333336,28562.541666666668,1899.3958333333333,6527.0,661.9375,13080.0,0.0,219.95833333333334,1198.2708333333333,0.1875,376.0,-173.6875,-16.25,793.6875,0.0,2020-11-19 11:45:00,10142.270833333334,109.4375,5842.4375,9902.625,775.3958333333334,3032.3541666666665,1981.4583333333333,158.6875,659.1458333333334,279.0,32882.791666666664,141.375,19161.125,17179.520833333332,11337.166666666666,10251.708333333334,29.745833333333334,0.3125,18.104166666666668,31.445833333333336,2.3874999999999997,9.020833333333334,5.95,0.4916666666666667,1.7937500000000002,0.7520833333333333,100.0,59.68333333333334,53.73333333333333,35.62916666666667,30.058333333333334,2561.3333333333335,2178.2083333333335
2020-11-20,24.5,31694.854166666668,32688.104166666668,29369.083333333332,2028.6458333333333,6527.0,180.47916666666666,13080.0,0.0,251.45833333333334,1196.9375,-20.229166666666668,595.6041666666666,138.5,494.0625,570.5416666666666,0.0,2020-11-20 11:45:00,11573.895833333334,384.9375,5851.3125,9706.729166666666,787.2916666666666,3156.6875,2759.9166666666665,190.0,181.47916666666666,168.875,34761.104166666664,164.39583333333334,19286.729166666668,16526.8125,10675.5,11958.833333333334,32.56666666666667,0.96875,17.347916666666666,27.8,2.339583333333333,9.40625,8.135416666666666,0.5437500000000001,0.45625,0.4145833333333333,100.0,56.08958333333334,47.949999999999996,30.587500000000002,33.53125,2209.125,2975.4166666666665
2020-11-21,24.5,26753.1875,28240.020833333332,25009.625,2681.7708333333335,6527.0,273.4791666666667,13080.0,0.0,225.64583333333334,506.0,-2.0,421.0,4.9375,222.89583333333334,604.8541666666666,0.0,2020-11-21 11:45:00,6813.3125,0.0,5818.833333333333,12991.416666666666,591.9583333333334,2426.4583333333335,1861.4375,154.02083333333334,281.6875,211.08333333333334,31150.1875,104.375,21545.333333333332,19683.895833333332,13865.0625,6813.3125,21.520833333333332,0.0,19.033333333333335,42.387499999999996,1.9166666666666667,7.35625,5.866666666666667,0.49583333333333335,0.84375,0.55625,100.0,70.07291666666667,64.2,45.166666666666664,21.520833333333332,2955.25,1757.6875
2020-11-22,24.5,27938.958333333332,29172.75,25940.1875,1552.1875,6527.0,672.4583333333334,13080.0,0.0,230.89583333333334,1317.9791666666667,-2.0,589.7916666666666,-201.625,-80.54166666666667,681.9583333333334,0.0,2020-11-22 11:45:00,9226.166666666666,439.8958333333333,5818.0625,9327.395833333334,820.5208333333334,2712.5625,2103.375,143.5,678.9583333333334,191.45833333333334,31461.916666666668,145.33333333333334,18748.3125,16644.9375,10826.875,9666.0625,28.129166666666666,1.2375,19.1125,31.06458333333333,2.591666666666667,8.2875,6.658333333333334,0.47500000000000003,1.9625000000000001,0.4916666666666667,100.0,61.37291666666667,54.72708333333333,35.608333333333334,29.3625,2224.6458333333335,2305.5625
2020-11-23,24.5,31555.6875,32654.3125,29486.645833333332,1988.8541666666667,6527.0,555.0416666666666,13080.0,0.0,140.97916666666666,433.75,77.72916666666667,640.375,163.875,433.5625,606.9166666666666,0.0,2020-11-23 11:45:00,12061.895833333334,614.9791666666666,5738.979166666667,9517.895833333334,713.4791666666666,2293.75,2896.3333333333335,165.1875,555.375,117.875,34675.729166666664,174.02083333333334,19422.0625,16525.708333333332,10786.729166666666,12676.875,33.44583333333333,1.5374999999999999,17.264583333333334,27.610416666666666,2.15625,7.189583333333334,8.670833333333333,0.4770833333333333,1.3604166666666666,0.2916666666666667,100.0,57.052083333333336,48.395833333333336,31.1125,34.985416666666666,2543.8958333333335,2356.2083333333335
