"timestamp","CARBON_INTENSITY","LOW_CARBON","ZERO_CARBON","RENEWABLE","DEMAND","type"
2011-06-30,410.9944444,9078.647917,9078.647917,1043.734028,32250.93264,"Historical"
2011-07-31,401.0927419,8032.012769,8032.012769,903.7681452,31351.91599,"Historical"
2011-08-31,412.7983871,8224.005376,8224.005376,1341.602151,31514.43078,"Historical"
2011-09-30,425.8680556,8357.925,8357.925,2221.304167,32667.38611,"Historical"
2011-10-31,463.5913978,8298.419355,8298.419355,2633.725134,33884.79234,"Historical"
2011-11-30,529.4583333,8658.201389,8658.201389,2597.241667,37111.07083,"Historical"
2011-12-31,507.6444892,10322.44422,10322.44422,3338.56922,38429.26815,"Historical"
2012-01-31,503.1829186,10606.731,10606.731,2937.987223,39328.28514,"Historical"
2012-02-29,540.6630747,10889.93966,10889.93966,2549.494971,40661.40014,"Historical"
2012-03-31,562.8532974,8139.413863,8139.413863,1821.543742,36447.10229,"Historical"
2012-04-30,517.6125,9680.079167,9680.079167,1614.347917,34972.81944,"Historical"
2012-05-31,483.5997024,9407.508185,9407.508185,1495.41369,33491.3564,"Historical"
2012-06-30,459.9825,9508.565833,9508.565833,1697.331667,31618.81,"Historical"
2012-07-31,473.9805108,8402.012769,8402.012769,1244.330645,31265.99194,"Historical"
2012-08-31,446.9327957,9723.16129,9723.16129,1497.840726,31019.54973,"Historical"
2012-09-30,471.3375,10227.45417,10227.45417,2685.939583,31908.10972,"Historical"
2012-10-31,544.7854167,8821.747222,8821.747222,2027.047222,35189.31042,"Historical"
2012-11-30,536.3986111,9449.643056,9449.643056,2943.409028,38093.37222,"Historical"
2012-12-31,513.2419355,11312.32863,11312.32863,3429.123656,38764.85954,"Historical"
2013-01-31,507.8622312,11906.62634,11906.62634,3260.551075,40389.43347,"Historical"
2013-02-28,520.4174107,10700.22173,10700.22173,2941.045387,40405.13914,"Historical"
2013-03-31,524.6843876,10077.54441,10077.54441,2824.03432,39649.7389,"Historical"
2013-04-30,477.7541667,10954.36597,10954.36597,3295.255556,35328.79931,"Historical"
2013-05-31,480.5517473,9063.614919,9063.614919,3089.880376,31808.73387,"Historical"
2013-06-30,443.3895833,8656.311111,8656.311111,2279.547917,30425.33472,"Historical"
2013-07-31,436.7385753,9612.405242,9612.405242,1722.241263,31036.71774,"Historical"
2013-08-31,437.9361559,10653.45968,10653.45968,2089.512097,30184.26277,"Historical"
2013-09-30,472.5965278,9721.994444,9721.994444,2526.648611,32024.53403,"Historical"
2013-10-31,476.9543011,10912.82728,10912.82728,3507.1875,33440.32594,"Historical"
2013-11-30,475.0402778,11083.59375,11083.59375,3583.611806,37523.55903,"Historical"
2013-12-31,448.7674731,13059.13777,13059.13777,4965.492608,36814.76075,"Historical"
2014-01-31,464.3723118,12297.86022,12297.86022,4653.044355,38265.16599,"Historical"
2014-02-28,452.8489583,12627.3936,12627.3936,5546.119048,37507.78423,"Historical"
2014-03-31,473.6769852,10794.70323,10794.70323,4140.684388,35185.30081,"Historical"
2014-04-30,445.9034722,10631.09097,10631.09097,3324.788194,32213.71319,"Historical"
2014-05-31,410.1323925,9964.587366,9964.587366,2731.104167,30651.46438,"Historical"
2014-06-30,358.5666667,10063.53611,10063.53611,2198.285417,29900.12083,"Historical"
2014-07-31,336.5013441,9922.882392,9922.882392,2599.198253,29983.89315,"Historical"
2014-08-31,329.094086,10355.69892,10355.69892,3824.875,28842.30444,"Historical"
2014-09-30,449.7326389,8239,8239,2124.578472,31120.25208,"Historical"
2014-10-31,434.8951613,9876.776882,9876.776882,4698.046371,32375.31384,"Historical"
2014-11-30,461.5138889,9305.604167,9305.604167,3989.152083,35667.69236,"Historical"
2014-12-31,411.9509409,13428.66935,13428.66935,5797.554435,36631.04906,"Historical"
2015-01-31,407.9630376,14523.89382,14523.89382,6242.991935,37972.21169,"Historical"
2015-02-28,431.7001488,12975.68973,12975.68973,4829.694196,38506.00818,"Historical"
2015-03-31,425.4979812,12526.04172,12526.04172,5421.717362,35321.95357,"Historical"
2015-04-30,390.3027778,11638.48056,11638.48056,4327.284028,31044.95903,"Historical"
2015-05-31,322.6888441,12676.55108,12676.55108,5452.002016,29167.49462,"Historical"
2015-06-30,325.3798611,11693.62361,11693.62361,4501.309722,28697.68125,"Historical"
2015-07-31,322.2775538,11657.97312,11657.97312,4427.087366,28431.09274,"Historical"
2015-08-31,316.4892473,10932.78293,10932.78293,4081.071909,28159.56384,"Historical"
2015-09-30,332.2041667,10641.24861,10641.24861,3646.679861,29997.60278,"Historical"
2015-10-31,377.7063172,11122.89583,11122.89583,3352.62164,32473.35753,"Historical"
2015-11-30,333.7395833,13478.59722,13478.59722,5787.339583,34217.45,"Historical"
2015-12-31,290.4159946,15009.60954,15009.60954,6760.610215,33152.06384,"Historical"
2016-01-31,314.9610215,13365.50202,13365.50202,5744.829301,36022.51277,"Historical"
2016-02-29,329.7507184,13099.64871,13099.64871,5606.117098,35941.12141,"Historical"
2016-03-31,321.153432,11690.52557,11690.52557,4592.201884,34389.51548,"Historical"
2016-04-30,271.9451389,12033.05903,12033.05903,5107.838194,31300.13889,"Historical"
2016-05-31,232.8669355,12191.83132,12191.83132,5195.804435,27875.49798,"Historical"
2016-06-30,260.9652778,11112.57431,11112.57431,3635.442361,28247.02708,"Historical"
2016-07-31,224.375,12670.10551,12670.10551,4686.879032,27026.53831,"Historical"
2016-08-31,213.5228495,12839.3004,12839.3004,4962.46707,26726.06855,"Historical"
2016-09-30,236.526096,13019.1872,13019.1872,5057.356994,28219.96312,"Historical"
2016-10-31,282.0040323,12188.44556,12188.44556,4568.461022,30819.13441,"Historical"
2016-11-30,306.4034722,13156.67292,13156.67292,4982.484028,35480.88681,"Historical"
2016-12-31,294.3635753,13582.6875,13582.6875,5555.771505,34672.12097,"Historical"
